id,bilissel_performans_skoru
1,5.980104656811988
2,6.38835501016811
3,3.0306996625603095
4,7.168650183712529
5,3.608853915110287
6,5.442071655114438
7,3.349423462818778
8,7.390774786278779
9,3.59325785096225
10,3.600444378341365
11,8.40874382255865
12,4.205908281402741
13,6.398787295991273
14,6.936361334123887
15,5.954523400641494
16,4.376540583923082
17,7.334384030018554
18,7.994331345052469
19,7.4806148218502235
20,4.7989821304636795
21,4.196073676022015
22,7.372878332967908
23,2.9380086005674824
24,5.35301080695026
25,7.231979199478628
26,6.52947373610462
27,7.021430880974375
28,8.18625883368238
29,4.019560006834697
30,7.753983229042137
31,6.869738406275386
32,6.679079935756612
33,5.391448327242513
34,5.308465194407622
35,4.178301727816768
36,5.4494887893956765
37,4.7929437683379215
38,5.897193696254321
39,7.452059107279058
40,8.007277776784555
41,6.3570078280279105
42,6.038469547461404
43,6.848584574956398
44,5.4986347090066
45,9.017456815006119
46,1.7998323990572045
47,5.164409420326326
48,6.634097374690881
49,4.717289183451665
50,7.971516664422644
51,7.2185060017078095
52,3.246649325804321
53,6.832222583406964
54,7.482433616218236
55,4.257217456166996
56,5.919744649748223
57,2.541489150086766
58,3.666497958959791
59,4.486752369312225
60,4.301754762164068
61,8.858526656155687
62,8.912051880709296
63,7.308733463221943
64,5.486494758433438
65,4.667835100699005
66,6.207525600462907
67,4.813393613956017
68,5.507357454745106
69,7.640411522884018
70,3.0174741218229437
71,4.3640043730706255
72,8.349080492691476
73,8.698001233906789
74,5.800669549677102
75,2.4865234367247298
76,7.33117592638478
77,4.265758686950871
78,3.7744529450134943
79,8.887759990454347
80,5.983068942229739
81,4.098063427640638
82,4.866966055889008
83,6.227507809980179
84,7.26734896364598
85,5.694711557409521
86,7.163583278257569
87,7.461777710506169
88,7.574777655824068
89,3.1235139434735144
90,8.433354620609752
91,4.519053450440389
92,2.8158623386254513
93,5.948836246846758
94,7.844525281955098
95,5.842898490989532
96,7.657545480027964
97,4.624436713994431
98,3.799783796936315
99,6.081996333213509
100,8.884515983374426
101,5.156277285437498
102,6.082831311110713
103,5.221948762048369
104,3.7585338491836557
105,6.009044927171444
106,6.0132240635948815
107,8.030883028569388
108,8.642463948605199
109,7.945864369623917
110,8.00823607688128
111,3.942822185128897
112,2.990704838995003
113,6.753728975491919
114,5.702889557683374
